trial,value,state,num_leaves,max_depth,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2
23,0.692184119997402,COMPLETE,38,5,0.09099109157929682,33,0.6926223524830457,0.7382947995252591,1,0.12462390910874789,0.007059320602263368
24,0.6738643695814444,COMPLETE,55,6,0.11275645291510376,63,0.7234441506436625,0.6925586667002099,3,0.08842013223116185,0.01018520631424815
25,0.6947486026735078,COMPLETE,66,5,0.0839570964817489,41,0.7822529547788122,0.815588786552436,4,0.006087154045047944,0.00023978459809795093
26,0.6881084168687633,COMPLETE,64,5,0.08179675509286691,38,0.7899880152493931,0.9023772774797253,5,0.007332291575370402,0.0003426687683452353
27,0.6756167347824011,COMPLETE,84,5,0.12449995840301237,17,0.838809082341237,0.6082242093656406,4,3.071375990548527e-05,5.399388751429041e-06
28,0.6740884424819686,COMPLETE,68,7,0.10909805933869028,42,0.7702707385275496,0.7632020140320209,2,5.817116678615172e-07,0.00018740674348125772
29,0.6861072648354879,COMPLETE,42,4,0.04863848288737604,52,0.9210490914667944,0.8186877105264398,1,0.00022959618280030887,1.277378397607825e-05
30,0.6957229563297476,COMPLETE,31,7,0.03562596315309229,29,0.6520369943541042,0.8762379663996436,6,0.004092116508516776,0.0017681413081129336
31,0.6890685443654967,COMPLETE,30,7,0.036482463396259185,30,0.6028580771771503,0.8723471826965282,7,0.005275518064927908,0.003180446952732832
32,0.6965718113531308,COMPLETE,34,6,0.025463342322680955,44,0.6563696878673886,0.9395921481641628,6,0.03295947649336917,0.0008001106151581293
33,0.6983897970593574,COMPLETE,24,6,0.02407890441287697,36,0.5839244910838727,0.9501789959886848,6,0.001590833215577979,0.0009782050513706289
34,0.6841642239907041,COMPLETE,24,6,0.023940343378218355,20,0.5690786294719106,0.9498937744078664,6,0.0013710864591027676,0.0008811327624556285
35,0.6902307601191479,COMPLETE,33,7,0.030885271725048232,35,0.641193297216623,0.9474547045598616,6,0.033101776714034144,0.0756702164408005
36,0.6893048820590254,COMPLETE,26,9,0.020235334026107485,28,0.5886446434799485,0.8891538069506288,7,0.0019551756616379263,0.0009247538625578828
37,0.6912141937885715,COMPLETE,35,6,0.017057622029329637,44,0.6632691339501482,0.9882891708790028,6,0.0002607801854457659,3.975543772945578e-07
38,0.6909199657320922,COMPLETE,22,8,0.02716107104480092,24,0.508104306513695,0.9329600037145912,5,2.2616665290088284e-05,8.424486212121475e-05
39,0.6858526564345538,COMPLETE,29,9,0.04018005061319729,30,0.7081419344760831,0.8948351271367919,6,0.016721573571660858,0.001923495333202381
40,0.6926145198017436,COMPLETE,43,6,0.015899076030855195,46,0.6559782159740041,0.9612955270179568,5,0.3111319358534968,2.086897604145884e-08
41,0.692484072839898,COMPLETE,34,5,0.03316551693966146,37,0.7309882147223169,0.8289231439068584,7,0.0044438656304406285,2.2773687117099848e-05
42,0.6943546798043974,COMPLETE,22,4,0.027233430467930322,43,0.7492527510516257,0.9063754721695546,4,0.0006376542516425991,0.0002608731210119348
43,0.6860760809204755,COMPLETE,44,6,0.012642418604582227,53,0.6032735295465667,0.9967457200130029,6,0.06392682428636547,0.0006895886649852651
44,0.6885375331943756,COMPLETE,27,5,0.024927054348936203,62,0.5443307794325248,0.8725460537005981,5,0.013498726375270583,0.00010440947621819908
45,0.6914497470123998,COMPLETE,37,7,0.04128190371780894,28,0.8535838799686828,0.8089501132554233,6,0.0007252947498085394,0.0014847491673094881
46,0.680167556911854,COMPLETE,17,4,0.14317860164432258,49,0.7538557472588265,0.9207635127423152,7,0.003460258622115568,0.02126268952022386
47,0.689290212238238,COMPLETE,31,6,0.029946981375863928,58,0.804704194115543,0.8843886828059422,4,0.00020605937449116882,0.00019408120826986557
48,0.680948115157646,COMPLETE,52,5,0.02326919383336648,38,0.863618221704004,0.8381263237640528,6,3.0997313134568287e-06,0.003652332120374739
49,0.6856730661287403,COMPLETE,47,7,0.05405856382793637,21,0.7098655008891773,0.7865651907038383,5,4.949472124206348e-05,2.7777213138568865e-05
